product,rate_mfn,rate_applied,tariff_lines,is_traded
"320910 - Paints and varnishes; based on acrylic or vinyl polymers, dispersed or dissolved in an aqueous medium",25,25,4,Yes
"320990 - Paints and varnishes; (based on polymers other than acrylic or vinyl), dispersed or dissolved in an aqueous medium",25,25,1,Yes
"321000 - Paints and varnishes; (including enamels, lacquers and distempers), prepared water pigments of a kind used for finishing leather",25,25,5,Yes
"321511 - Ink; for printing, black, whether or not concentrated or solid",25,25,3,Yes
"321519 - Ink; for printing, other than black, whether or not concentrated or solid",25,25,2,Yes
"350520 - Glues; based on starches, or on dextrins or other modified starches",25,25,1,Yes
"350610 - Glues or adhesives; prepared, products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1kg",25,25,1,Yes
"350699 - Glues and other adhesives; prepared, n.e.s. in heading no. 3506, not exceeding a net weight of 1kg",25,25,1,Yes
"360200 - Explosives, prepared; other than propellent powders",25,25,1,Yes
"400280 - Rubber; mixtures of natural and synthetic rubbers of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",25,25,2,Yes
"400300 - Rubber; reclaimed rubber, in primary forms or in plates, sheets or strip",25,25,1,Yes
"400400 - Rubber; waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom",25,25,1,Yes
"400610 - Rubber; unvulcanised, camel-back strips for retreading rubber tyres",25,25,1,No
"400821 - Rubber; vulcanised (other than hard rubber), in plates, sheets and strip, of non-cellular rubber",25,25,5,Yes
401219 - Other,25,25,5,Yes
"441299 - Plywood; not containing an outer layer of non-coniferous wood, not containing a layer of particle board",25,25,1,No
"480840 - Kraft paper, creped or crinkled, whether or not embossed or perforated",25,25,1,Yes
481810 - Paper; toilet paper,25,25,1,No
"481820 - Paper articles; handkerchiefs, cleansing or facial tissues and towels",25,25,1,Yes
"481910 - Paper and paperboard; cartons, boxes and cases, of corrugated paper or paperboard",25,25,1,Yes
"481920 - Paper and paperboard; folding cartons, boxes and cases, of non-corrugated paper or paperboard",25,25,1,Yes
"481930 - Paper and paperboard; sacks and bags of paper, paperboard, cellulose wadding or fibres, having a base of a width of 40cm or more",25,25,1,Yes
"481940 - Paper and paperboard; sacks and bags, including cones, of paper, paperboard, cellulose wadding or fibres, having a base width less than 40cm",25,25,1,Yes
"481950 - Paper and paperboard; packing containers, including record sleeves, of paper, paperboard, cellulose wadding or fibres, n.e.s. in heading no. 4819",25,25,1,Yes
"481960 - Paper and paperboard; box files, letter trays, storage boxes and similar articles, used in offices, shops or the like of paper, paperboard, cellulose wadding or webs of cellulose fibres",25,25,1,Yes
"482110 - Paper and paperboard; labels or all kinds, printed",25,25,2,Yes
"482190 - Paper and paperboard; labels of all kinds, unprinted",25,25,2,Yes
"482340 - Paper and paperboard; rolls, sheets and dials, printed for self-recording apparatus",25,25,3,Yes
482361 - Of bamboo,25,25,1,No
482369 - Other,25,25,1,Yes
482370 - Paper pulp; moulded or pressed articles or paper pulp,25,25,1,Yes
"550820 - Sewing thread; of artificial staple fibres, whether or not put up for retail sale",25,25,2,No
"640620 - Footwear; parts, outer soles and heels, of rubber or plastics",25,25,2,Yes
"680300 - Slate, worked; and articles of slate or of agglomerated slate",25,25,1,No
"680510 - Abrasive powder or grain; natural or artificial, on a base of woven textile fabric only, whether or not cut to shape or sewn or otherwise made up",25,25,1,Yes
"680520 - Abrasive powder or grain; natural or artificial, on a base of paper or paperboard only, whether or not cut to shape or sewn or otherwise made up",25,25,1,Yes
"680530 - Abrasive powder or grain; natural or artificial, on a base of materials n.e.s. in heading no. 6805, whether or not cut to shape or sewn or otherwise made up",25,25,1,Yes
"680610 - Slag wool, rock wool and similar mineral wools (including intermixtures thereof), in bulk, sheets or rolls",25,25,1,Yes
"680620 - Exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials (including intermixtures thereof)",25,25,1,Yes
"680690 - Minerals; mixtures and articles of heat-insulating, sound-insulating or sound-absorbing mineral materials, other than those of heading no. 6811 or 6812 or of chapter 69",25,25,1,Yes
"680919 - Plaster, or plaster compositions; boards, sheets, panels, tiles and similar articles, (other than faced or reinforced with paper or paperboard only), not ornamented",25,25,2,Yes
"690100 - Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (eg kieselguhr, tripolite or diatomite) or of similar siliceous earths",25,25,1,Yes
